gPlusPlaceId,rate,reviewTime,visitTime,Lat,Long,d1start,d1end,d2start,d2end,d3start,d3end,d4start,d4end,d5start,d5end,d6start,d6end,d7start,d7end,price
101150904969050708534,3.0,12.0,1.0,21.961391,-159.353328,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,2.0
105200572766918162116,4.0,12.666666666666666,3.0,-37.831233,144.960377,7.0,18.0,7.0,18.0,7.0,18.0,7.0,18.0,7.0,18.0,7.0,18.0,7.0,18.0,3.0
112700120194708351472,5.0,13.0,1.0,-37.818542,144.95751,18.0,19.0,12.0,14.0,12.0,14.0,12.0,14.0,12.0,14.0,18.0,19.0,12.0,14.0,1.0
101634997104301806688,4.0,12.333333333333334,3.0,34.112,-117.535357,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.5,11.0,23.5,10.0,23.0,2.0
110147033354055021682,4.0,13.0,7.0,40.363731,-3.737244,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,3.0
104502764246945770055,2.0,13.0,1.0,36.219295,-81.716708,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,20.0,7.0,19.0,9.0,17.0,3.0
108585910849109169666,4.5,12.0,2.0,40.777769,-73.982526,11.0,24.0,11.0,24.0,11.0,24.0,11.0,24.0,11.0,24.0,11.0,24.0,11.0,23.0,3.0
110864889964667973890,3.6666666666666665,11.666666666666666,3.0,45.470342,-122.747085,8.0,21.0,8.0,21.0,8.0,21.0,8.0,21.0,8.0,22.0,11.0,22.0,11.0,21.0,2.0
117235283533657903254,4.5,11.0,2.0,40.775235,-73.979909,17.0,22.0,17.0,22.5,11.5,14.5,11.5,14.5,11.5,14.5,17.0,23.5,17.0,22.0,1.0
114994915024071754539,4.5,12.0,2.0,36.887859,-89.546455,10.5,21.0,10.5,21.0,10.5,21.0,10.5,21.0,10.5,21.0,10.5,21.0,10.5,21.0,2.0
118100250980311522399,4.666666666666667,11.0,3.0,40.370451,-111.784815,11.0,21.5,11.0,21.5,11.0,21.5,11.0,21.5,11.0,22.5,11.0,22.5,14.0,20.5,2.0
117529021305897868957,3.0,13.0,1.0,41.997295,-87.833834,0.0,24.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,24.0,2.0
110092324916662579971,4.0,11.666666666666666,3.0,47.612141,-122.333665,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.5,23.0,11.5,22.0,2.0
103183341477493828670,5.0,12.0,1.0,32.619039,-83.668724,11.0,14.5,11.0,14.5,11.0,14.5,11.0,14.5,11.0,14.5,12.0,22.0,12.0,21.0,2.0
103888879065110855041,5.0,13.0,1.0,32.671691,-97.003986,16.0,21.0,10.0,21.5,10.0,21.5,10.0,21.5,10.0,22.0,10.0,22.0,10.0,21.0,2.0
118279746793420842563,4.2,12.8,5.0,42.336915,-83.052803,10.0,24.0,10.0,26.0,10.0,26.0,10.0,26.0,10.0,26.0,11.0,26.0,11.0,24.0,3.0
107390227071306429060,4.5,12.5,2.0,29.755127,-95.392444,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,23.0,9.5,23.0,9.5,21.0,2.0
111359007563030584853,5.0,12.0,2.0,29.734356,-95.387452,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,18.0,0.0,0.0,2.0
118180746529675226433,5.0,13.0,1.0,29.738804,-95.379506,8.0,21.0,8.0,21.0,8.0,21.0,8.0,22.0,8.0,23.0,8.0,23.0,8.0,21.0,2.0
115018126413297939425,4.0,13.0,1.0,48.832268,2.327778,0.0,0.0,12.0,14.0,12.0,14.0,12.0,14.0,12.0,14.0,12.0,14.0,12.0,14.0,2.0
112557103166476485108,5.0,13.5,2.0,34.09375,-118.377878,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,3.0
108335852129552574399,4.0,12.0,1.0,39.754641,-105.223718,11.5,18.5,11.5,18.5,11.5,18.5,11.5,18.5,11.5,18.5,11.5,18.5,11.5,18.5,3.0
104278360420407431319,2.75,12.75,4.0,51.509137,-0.132487,11.5,24.0,11.5,24.0,11.5,24.0,11.5,24.0,11.5,24.0,11.0,24.0,11.5,23.0,2.0
113285258826425712840,5.0,12.0,1.0,26.169092,-80.100749,11.0,26.0,11.0,26.0,11.0,26.0,11.0,27.0,11.0,27.0,11.0,26.0,11.0,26.0,2.0
110915173906739768156,4.0,13.0,2.0,30.305435,-81.637485,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,0.0,0.0,2.0
115757957627721988675,4.5,13.0,2.0,26.062206,-80.174118,16.5,22.0,16.5,22.0,16.5,22.0,16.5,22.0,16.5,22.0,16.5,22.0,15.0,21.0,2.0
101364495924446646306,2.6666666666666665,12.666666666666666,3.0,39.703,-104.8254,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,18.0,10.0,18.0,3.0
102281268731846224402,3.0,12.0,1.0,39.612115,-104.754506,8.0,22.0,8.0,22.0,8.0,22.0,8.0,22.0,8.0,22.0,8.0,22.0,8.0,22.0,2.0
107377745432053659364,4.5,11.5,2.0,47.69055,-117.460334,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,11.0,22.0,2.0
108726835119576698559,5.0,12.0,1.0,47.627143,-117.401616,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,12.0,26.0,11.0,24.0,11.0,23.0,2.0
103458215113043937404,4.555555555555555,13.333333333333334,9.0,40.751667,-73.979154,7.0,10.5,7.0,10.5,7.0,10.5,7.0,10.5,7.0,10.5,7.5,10.5,7.5,10.5,1.0
102008555105750929432,3.0,13.0,1.0,43.064806,-86.233404,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,0.0,0.0,2.0
110450325542937275670,5.0,13.0,1.0,41.1273,-81.508592,10.5,24.25,10.5,24.25,10.5,24.25,10.5,24.25,10.5,25.25,10.5,25.25,10.5,23.25,2.0
111476893654465517504,4.0,13.0,1.0,41.142053,-112.064466,10.5,22.0,10.5,22.0,10.5,22.0,10.5,22.0,10.5,23.0,10.5,23.0,10.5,22.0,3.0
116331996912844676421,5.0,12.5,2.0,35.479236,-80.893918,11.5,15.0,11.5,15.0,11.5,15.0,11.5,15.0,11.5,15.0,10.0,14.0,10.0,14.0,2.0
111245314647728859033,2.0,12.0,1.0,33.10123,-96.67458,0.0,24.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,24.0,3.0
109985037798554863697,3.0,12.0,1.0,35.534425,-80.80051,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,11.0,22.0,3.0
109205661536186731131,4.0,13.0,1.0,43.154519,-86.2028,11.0,21.5,11.0,21.5,11.0,21.5,11.0,21.5,11.0,22.5,11.0,22.5,11.0,21.5,2.0
114713828789925583632,3.0,13.0,1.0,45.531,-122.698765,11.0,15.0,11.0,15.0,11.0,15.0,11.0,15.0,11.0,15.0,12.0,21.5,12.0,21.0,2.0
103910903908097474527,5.0,13.0,1.0,29.706341,-95.414867,11.0,15.0,11.0,15.0,11.0,15.0,11.0,15.0,11.0,15.0,11.0,15.0,11.0,15.0,2.0
112703414824577472032,5.0,13.0,1.0,42.361036,-71.066727,11.5,22.5,11.5,22.5,11.5,22.5,11.5,22.5,11.5,23.5,11.5,23.5,12.0,22.5,2.0
100178931635780781470,5.0,12.0,2.0,33.799975,-118.125326,5.0,17.0,5.0,17.0,5.0,17.0,5.0,17.0,5.0,17.0,6.0,16.0,6.0,16.0,3.0
101867121039957793663,3.0,13.0,1.0,33.83625,-118.321158,11.0,15.0,11.0,15.0,11.0,15.0,11.0,15.0,11.0,15.0,11.0,15.0,11.0,15.0,3.0
103939407974255688238,5.0,12.0,1.0,33.832605,-118.160912,6.0,20.5,6.0,20.5,6.0,20.5,6.0,20.5,6.0,20.5,6.0,20.5,6.0,20.5,2.0
107164287537008936302,3.0,12.0,2.0,33.757168,-116.390011,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,3.0
109267703099600132079,3.0,12.0,1.0,33.822769,-118.384936,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,12.5,21.0,3.0
110606153784488780574,4.5,12.5,2.0,36.115546,-115.134985,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,2.0
113600929811105513658,4.0,13.0,1.0,33.887665,-118.101408,6.0,23.0,6.0,23.0,6.0,23.0,6.0,23.0,6.0,23.0,6.0,23.0,6.0,23.0,2.0
114272921746699387804,4.0,13.0,1.0,33.946823,-118.144692,11.0,21.5,11.0,21.5,11.0,21.5,11.0,21.5,11.0,22.0,11.0,22.0,11.0,21.5,2.0
100924905982902462706,3.75,11.5,4.0,51.508577,-0.101781,9.0,23.0,9.0,23.0,9.0,23.0,9.0,23.0,9.0,24.0,9.0,24.0,9.0,23.0,2.0
102959437482728862378,4.0,12.0,1.0,51.51084,-0.134271,12.0,23.5,12.0,23.5,12.0,23.5,12.0,23.5,12.0,23.5,12.0,23.5,12.0,22.5,2.0
103124578121356311108,4.6,11.6,5.0,51.513795,-0.125755,12.0,23.0,12.0,23.0,12.0,23.0,12.0,23.0,12.0,23.5,12.0,23.5,12.0,22.5,2.0
104029704497459523668,2.0,12.0,1.0,51.542403,-0.008511,12.0,23.0,12.0,23.0,12.0,23.0,12.0,23.0,12.0,23.5,12.0,23.5,12.0,22.0,2.0
105573151187353181162,4.0,13.0,1.0,51.523983,-0.074446,18.0,24.0,18.0,24.0,18.0,24.0,18.0,24.0,17.0,25.0,17.0,25.0,0.0,0.0,2.0
105905468645141950900,4.5,12.863636363636363,22.0,51.50545,-0.091106,10.0,17.0,10.0,17.0,10.0,17.0,10.0,17.0,10.0,18.0,8.0,17.0,0.0,0.0,2.0
106755529219341967018,5.0,11.0,1.0,51.507771,0.040798,12.0,23.0,12.0,23.0,12.0,23.0,12.0,23.0,12.0,23.0,12.0,23.0,11.0,22.5,1.0
108988733095579309590,4.0,12.5,2.0,51.512357,-0.126836,8.0,23.0,8.0,23.0,8.0,23.0,8.0,23.0,8.0,24.0,9.0,24.0,9.0,22.0,2.0
109057860704836431417,3.0,12.0,2.0,51.511768,-0.128228,10.0,23.5,10.0,23.5,10.0,23.5,10.0,23.5,10.0,24.0,10.0,24.0,10.0,23.0,2.0
109156764055871052021,3.0,11.5,2.0,51.505477,-0.028153,12.0,23.0,12.0,23.0,12.0,23.0,12.0,23.0,12.0,23.0,12.0,23.0,12.0,23.0,1.0
110857282954851218199,5.0,12.0,1.0,55.762549,37.595829,9.0,24.0,9.0,24.0,9.0,24.0,9.0,24.0,9.0,24.0,9.0,24.0,9.0,24.0,2.0
110903715269406735911,5.0,13.0,1.0,51.491113,-0.103347,10.0,24.0,10.0,24.0,10.0,24.0,10.0,24.0,10.0,26.5,10.0,26.5,10.0,24.0,1.0
111670492263047780598,5.0,11.666666666666666,3.0,51.510089,-0.039449,12.0,15.0,12.0,15.0,12.0,15.0,12.0,15.0,12.0,15.0,13.0,23.0,13.0,22.5,1.0
114239716198399189762,4.5,12.5,2.0,51.493297,-0.237044,11.0,15.5,11.0,15.5,11.0,15.5,11.0,15.5,11.0,15.5,11.0,15.5,11.0,15.5,2.0
116776532218948506757,4.0,12.0,1.0,51.512422,-0.135539,11.5,23.0,11.5,23.0,11.5,23.0,11.5,23.0,11.5,23.0,11.5,23.0,12.0,22.0,2.0
117503565795054824834,5.0,12.0,1.0,51.514384,-0.090687,12.0,24.0,12.0,24.0,12.0,24.0,12.0,24.0,12.0,24.0,0.0,0.0,0.0,0.0,1.0
105316293718838702315,5.0,13.0,1.0,33.421738,-111.944749,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,12.0,22.0,12.0,22.0,2.0
105589668159024738610,5.0,13.0,1.0,33.448675,-111.926815,6.0,15.0,6.0,15.0,6.0,15.0,6.0,15.0,6.0,15.0,6.0,15.0,6.0,15.0,2.0
112623507596809345035,4.0,13.0,1.0,41.812559,-87.869849,16.0,24.0,16.0,24.0,16.0,24.0,16.0,24.0,11.0,25.0,11.0,25.0,11.0,23.0,2.0
114745163460555595538,3.0,13.0,1.0,41.879909,-87.641274,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.98333333333333,12.0,26.0,12.0,27.0,2.0
109146503754954554206,5.0,13.0,1.0,29.542768,-95.148425,9.0,20.0,9.0,20.0,9.0,20.0,9.0,20.0,9.0,20.0,9.0,19.0,11.0,18.0,2.0
112602999597241746059,5.0,11.0,1.0,43.00544,-71.077328,11.5,19.0,11.5,19.0,11.5,20.0,11.5,20.0,11.5,20.0,11.5,20.0,11.5,19.0,2.0
114673988097652912217,3.5,12.0,2.0,39.55435,-104.882998,11.0,21.5,11.0,21.5,11.0,21.5,11.0,21.5,11.0,21.5,10.5,21.5,10.5,21.5,2.0
110532329042905099662,5.0,13.0,2.0,39.787707,-86.200787,5.5,19.0,5.5,19.0,5.5,19.0,5.5,19.0,5.5,19.0,5.5,19.0,5.5,19.0,3.0
102832117273541852893,4.666666666666667,12.333333333333334,3.0,42.363254,-71.056036,11.5,21.5,11.5,21.5,11.5,21.5,11.5,21.5,11.5,22.5,11.5,22.5,11.5,21.5,1.0
103847410327451574096,4.0,9.333333333333334,3.0,42.365422,-71.056825,11.0,23.5,11.0,23.5,11.0,23.5,11.0,23.5,12.0,24.5,11.0,24.0,11.0,23.5,2.0
101392357753276616352,2.0,13.0,1.0,30.254767,-81.389368,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,24.0,11.0,24.0,11.0,23.0,2.0
109221654849947640750,5.0,13.0,2.0,34.423052,-119.704231,6.0,20.0,6.0,20.0,6.0,20.0,6.0,20.0,6.0,22.0,6.0,22.0,6.0,20.0,3.0
112920427064535337991,5.0,12.666666666666666,3.0,42.338908,-83.888534,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,12.0,21.0,2.0
104311100585790045518,3.0,12.0,1.0,39.153397,-76.72365,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,7.0,23.0,7.0,23.0,7.0,22.0,3.0
107632481997916702572,4.0,12.0,1.0,39.153137,-76.724201,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,21.0,3.0
109273027395910162769,4.0,12.333333333333334,3.0,25.827627,-80.186741,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,24.0,11.0,24.0,11.0,23.0,2.0
101558916725290145882,4.0,11.0,1.0,37.512991,-122.266543,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,3.0
101902084049358138734,3.5,11.0,2.0,37.787513,-122.398986,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,11.5,15.0,0.0,0.0,3.0
105695295963027267794,2.0,11.0,1.0,37.791651,-122.403884,10.0,15.0,10.0,15.0,10.0,15.0,10.0,15.0,10.0,15.0,0.0,0.0,0.0,0.0,2.0
112056440199499067697,3.0,12.0,5.0,37.392475,-122.079987,11.0,14.0,11.0,14.0,11.0,14.0,11.0,14.0,11.0,14.0,11.0,22.0,11.0,22.0,3.0
112610750235634830337,4.5,10.5,2.0,37.393235,-122.07944,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,11.0,16.0,3.0
114735143729299990529,5.0,12.5,2.0,37.782974,-122.461734,11.0,15.0,11.0,15.0,11.0,15.0,11.0,15.0,11.0,15.0,10.0,23.0,10.0,22.0,2.0
116714290900672170748,4.5,12.0,2.0,37.335308,-121.894065,0.0,0.0,11.0,14.5,11.0,14.5,11.0,14.5,11.0,14.5,11.0,22.0,12.0,20.0,2.0
114599789625441369240,5.0,10.0,1.0,43.606789,-116.283481,9.0,21.0,9.0,21.0,9.0,21.0,9.0,21.0,9.0,21.0,9.0,21.0,10.0,19.0,2.0
104834955896047099944,4.0,12.0,1.0,58.301036,-134.416208,6.0,14.0,6.0,14.0,6.0,14.0,6.0,14.0,6.0,14.0,6.0,14.0,6.0,14.0,2.0
110087830744246660055,3.0,12.5,4.0,61.18172,-149.932757,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,7.0,21.0,2.0
114837061033142329857,4.333333333333333,12.0,3.0,45.616071,-122.554761,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,21.0,11.0,21.0,2.0
114899861351027770789,3.0,12.0,1.0,58.30043,-134.405228,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,0.0,0.0,2.0
106158544902877943568,3.0,11.0,2.0,44.920319,-93.277544,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,17.0,23.0,9.0,15.0,2.0
117796298134504024059,4.5,13.0,2.0,43.236016,-88.287899,16.0,21.0,16.0,21.0,16.0,21.0,16.0,21.0,16.0,21.0,11.0,21.0,11.0,21.0,2.0
117474928487189529190,4.0,13.0,1.0,29.920768,-90.012464,6.0,20.0,6.0,20.0,6.0,20.0,6.0,20.0,6.0,21.0,6.0,21.0,6.0,20.0,3.0
115671799654997579047,4.0,13.0,1.0,37.128305,-93.295769,11.0,14.5,11.0,14.5,11.0,14.5,11.0,14.5,11.0,14.5,11.0,14.5,11.0,14.5,3.0
109513184841633242248,5.0,13.0,1.0,42.967691,-71.479921,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,12.0,22.0,2.0
